ลำดับ,หน่วยงาน,ชื่อหน่วยงาน,จังหวัด,ชื่อแหล่งท่องเที่ยว,latitude,longitude,เปิดตลอดปี,วันที่เริ่มปิด,วันที่สิ้นสุดการปิด,สาเหตุการปิด,หมายเหตุ,,,,,,,,,,,,,,
1,อุทยานแห่งชาติ,เขาใหญ่,ปราจีนบุรี,แก่งหินเพิง,14.16748,101.72896,ไม่ใช่,1-มี.ค.,30-เม.ย.,ช่วงเวลาดังกล่าวไม่มีน้ำและให้ทรัพยากร,,,,,,,,,,,,,,,
2,อุทยานแห่งชาติ,เขาใหญ่,ปราจีนบุรี,น้ำตกตะคร้อ,14.18198,101.59266,ไม่ใช่,1-มี.ค.,30-เม.ย.,ธรรมชาติฟื้นตัว,,,,,,,,,,,,,,,
3,อุทยานแห่งชาติ,เขาใหญ่,นครนายก,น้ำตกสาริกา,14.30885,101.25535,ไม่ใช่,1-เม.ย.,30-เม.ย.,ช่วงเวลาดังกล่าวไม่มีน้ำและให้ทรัพยากร,,,,,,,,,,,,,,,
4,อุทยานแห่งชาติ,เขาใหญ่,ปราจีนบุรี,น้ำตกธารทิพย์,14.19731,101.5432,ไม่ใช่,-,-,ปิดตลอดทั้งปี,,,,,,,,,,,,,,,
5,อุทยานแห่งชาติ,เขาใหญ่,นครราชสีมา,น้ำตกผากล้วยไม้,14.43153,101.40173,ใช่,-,-,-,,,,,,,,,,,,,,,
6,อุทยานแห่งชาติ,เขาใหญ่,นครราชสีมา,น้ำตกกองแก้ว,14.43954,101.3739,ใช่,-,-,-,,,,,,,,,,,,,,,
7,อุทยานแห่งชาติ,เขาใหญ่,นครนายก,น้ำตกเหวนรก,14.28963,101.38836,ใช่,-,-,-,,,,,,,,,,,,,,,
8,อุทยานแห่งชาติ,เขาใหญ่,นครราชสีมา,น้ำตกเหวสุวัต,14.43583,101.41412,ใช่,-,-,-,,,,,,,,,,,,,,,
9,อุทยานแห่งชาติ,เขาใหญ่,นครราชสีมา,หอดูสัตว์หนองผักชี,14.45414,101.35976,ใช่,-,-,-,,,,,,,,,,,,,,,
10,อุทยานแห่งชาติ,เขาใหญ่,นครนายก,น้ำตกนางรอง,14.32813,101.3189,ใช่,-,-,-,,,,,,,,,,,,,,,
