park_name,province,office,latitude,longitude
กุยบุรี,ประจวบคีรีขันธ์,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 สาขาเพชรบุรี,12.09863803,99.63643696
ขุนขาน,เชียงใหม่,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),18.854222,98.621911
ขุนน่าน,น่าน,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 (แพร่),19.1630435,101.20004850000001
ขุนพะวอ,ตาก,สำนักบริหารพื้นที่อนุรักษ์ที่ 14 (ตาก),17.026301500000002,98.6511775
ขุนสถาน,น่าน,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 (แพร่),18.30494197,100.52102185000001
ขุนแจ,เชีียงราย,สำนักบริหารพื้นที่อนุรักษ์ที่ 15 (เชียงราย),19.102471,99.400475
คลองพนม,สุราษฎร์ธานี,สำนักบริหารพื้นที่อนุรักษ์ที่ 4 (สุราษฎร์ธานี),8.8661825,98.674947
คลองลาน,กำแพงเพชร,สำนักบริหารพื้นที่อนุรักษ์ที่ 12 (นครสวรรค์),16.1314895,99.2777185
คลองวังเจ้า,กำแพงเพชร,สำนักบริหารพื้นที่อนุรักษ์ที่ 12 (นครสวรรค์),16.489072,99.166441
ดอยขุนตาล,ลำพูน,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 สาขาลำปาง,99.276137,18.497912499999998
ดอยจง,ลำปาง,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 สาขาลำปาง,17.898883,99.240686
ดอยผากลอง,แพร่,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 (แพร่),18.1528645,99.985575
ดอยผ้าห่มปก,เชียงใหม่,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),20.00266872,99.15191006500001
ดอยภูคา,น่าน,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 (แพร่),19.1921,101.08215
ดอยภูนาง,พะเยา,สำนักบริหารพื้นที่อนุรักษ์ที่ 15 (เชียงราย),18.864387,100.183639
ดอยสอยมาลัย,ตาก,สำนักบริหารพื้นที่อนุรักษ์ที่ 14,17.060036,98.978917
ดอยสอยมาลัย-ไม้กลายเป็นหิน,ตาก,สำนักบริหารพื้นที่อนุรักษ์ที่ 14 (ตาก),17.060036,98.978917
ดอยสุเทพ-ปุย,เชียงใหม่,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),18.825642,98.897158
ดอยหลวง,เชีียงราย,สำนักบริหารพื้นที่อนุรักษ์ที่ 15 (เชียงราย),19.31714,99.703516
ดอยอินทนนท์,เชียงใหม่,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),18.539381,98.53053
ดอยเวียงผา,เชียงใหม่,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),19.6646465,99.2279
ตะรุเตา,สตูล,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),6.562535,99.345549
ตากสินมหาราช,ตาก,สำนักบริหารพื้นที่อนุรักษ์ที่ 14 (ตาก),16.787733000000003,98.92525
ตาดหมอก,เพชรบูรณ์,สำนักบริหารพื้นที่อนุรักษ์ที่ 11 (พิษณุโลก),16.37361,101.32204999999999
ตาดโตน,ชัยภูมิ,สำนักบริหารพื้นที่อนุรักษ์ที่ 7 (นครราชสีมา),15.9807617,102.03897
ตาพระยา,สระแก้ว,สำนักบริหารพื้นที่อนุรักษ์ที่ 1 (ปราจีนบุรี),14.13121,102.64036
ต้นสักใหญ่,อุตรดิตถ์,สำนักบริหารพื้นที่อนุรักษ์ที่ 11 (พิษณุโลก),17.60840615,100.72733925
ต้นสักใหญ่ (คลองตรอน),อุตรดิตถ์,,17.60840615,100.72733925
ถ้ำปลา-น้ำตกผาเสื่อ,แม่ฮ่องสอน,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 สาขาแม่สะเรียง,19.491509,97.956718
ถ้ำผาไท,ลำปาง,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 สาขาลำปาง,18.745969,99.803825
ถ้ำสะเกิน,น่าน,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 (แพร่),19.3871995,100.53447249999999
ถ้ำหลวง-ขุนน้ำนางนอน,เชียงราย,สำนักบริหารพื้นที่อนุรักษ์ที่ 15 (เชียงราย),20.379682,99.867988
ทองผาภูมิ,กาญจนบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 (บ้านโป่ง),14.696454500000002,98.405311
ทะเลบัน,สตูล,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),6.7087319999999995,100.1691165
ทับลาน,นครราชสีมา,สำนักบริหารพื้นที่อนุรักษ์ที่ 1 (ปราจีนบุรี),14.31932,101.910645
ทุ่งแสลงหลวง,พิษณุโลก,สำนักบริหารพื้นที่อนุรักษ์ที่ 11 (พิษณุโลก),16.5777735,100.8089975
ธารเสด็จ-เกาะพะงัน,สุราษฎร์ธานี,สำนักบริหารพื้นที่อนุรักษ์ที่ 4 (สุราษฎร์ธานี),9.74308135,100.0429159
ธารโบกขรณี,กระบี่,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),8.3808765,98.704048
นันทบุรี,น่าน,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 (แพร่),19.13125146,100.6411623
นายูง-น้ำโสม,อุดรธานี,สำนักบริหารพื้นที่อนุรักษ์ที่ 10 (อุดรธานี),17.925298,102.25443
น้ำตกคลองแก้ว,ตราด,สำนักบริหารพื้นที่อนุรักษ์ที่ 2 (ศรีราชา),12.61705,102.5773
น้ำตกชาติตระการ,พิษณุโลก,สำนักบริหารพื้นที่อนุรักษ์ที่ 11 (พิษณุโลก),17.30701406,100.6798364
น้ำตกซีโป,นราธิวาส,สำนักบริหารพื้นที่อนุรักษ์ที่ 6 สาขาปัตตานี,6.268595907,101.6428293
น้ำตกทรายขาว,ปัตตานี,สำนักบริหารพื้นที่อนุรักษ์ที่ 6 สาขาปัตตานี,6.63247932,101.096
น้ำตกบัวตอง-น้ำพุเจ็ดสี,เชียงใหม่,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),19.069433,99.079367
น้ำตกพลิ้ว,จันทบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 2 (ศรีราชา),12.5465,102.1941
น้ำตกพาเจริญ,ตาก,สำนักบริหารพื้นที่อนุรักษ์ที่ 14 (ตาก),16.5020573,98.7527391
น้ำตกสามหลั่น,สระบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 1 สาขาสระบุรี,14.43987,100.96096
น้ำตกสี่ขีด,นครศรีธรรมราช,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),9.01392833,99.77179167
น้ำตกหงาว,ระนอง,สำนักบริหารพื้นที่อนุรักษ์ที่ 4 (สุราษฎร์ธานี),9.874635806499999,98.636263085
น้ำตกห้วยยาง,ประจวบคีรีขันธ์,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 สาขาเพชรบุรี,11.6257285,99.5836515
น้ำตกเจ็ดสาวน้อย,สระบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 1 สาขาสระบุรี,14.73177,101.19127
น้ำตกแม่สุรินทร์,แม่ฮ่องสอน,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 สาขาแม่สะเรียง,19.232464485,98.00441652
น้ำตกโยง,นครศรีธรรมราช,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),8.2362085,99.7513835
น้ำพอง,ขอนแก่น,สำนักบริหารพื้นที่อนุรักษ์ที่ 8 (ขอนแก่น),16.6348391,102.570572
น้ำหนาว,เพชรบูรณ์,สำนักบริหารพื้นที่อนุรักษ์ที่ 11 (พิษณุโลก),16.7375403,101.5724406
บางลาง,ยะลา,สำนักบริหารพื้นที่อนุรักษ์ที่ 6 สาขาปัตตานี,6.1306576685,101.1776309
บูโด-สุไหงปาดี,นราธิวาส,สำนักบริหารพื้นที่อนุรักษ์ที่ 6 สาขาปัตตานี,6.497321359,101.6372565
ปางสีดา,สระแก้ว,สำนักบริหารพื้นที่อนุรักษ์ที่ 1 (ปราจีนบุรี),14.025175,102.21435500000001
ป่าหินงาม,ชัยภูมิ,สำนักบริหารพื้นที่อนุรักษ์ที่ 7 (นครราชสีมา),15.635138999999999,101.393078
ผาแดง,เชียงใหม่,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),19.628535,98.948766
ผาแดง (เชียงดาว),เชียงใหม่,,19.628535,98.948766
ผาแต้ม,อุบลราชธานี,สำนักบริหารพื้นที่อนุรักษ์ที่ 9 (อุบลราชธานี),15.460017,105.570683
พุเตย,สุพรรณบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 (บ้านโป่ง),14.9839,99.31832
ภูกระดึง,เลย,สำนักบริหารพื้นที่อนุรักษ์ที่ 8 (ขอนแก่น),16.8805965,101.7758265
ภูจองนายอย,อุบลราชธานี,สำนักบริหารพื้นที่อนุรักษ์ที่ 9 (อุบลราชธานี),14.4347685,105.2669655
ภูชี้ฟ้า,เชียงราย,สำนักบริหารพื้นที่อนุรักษ์ที่ 15 (เชียงราย),19.849937,100.454115
ภูซาง,พะเยา,สำนักบริหารพื้นที่อนุรักษ์ที่ 15 (เชียงราย),19.662652,100.392217
ภูผาม่าน,ขอนแก่น,สำนักบริหารพื้นที่อนุรักษ์ที่ 8 (ขอนแก่น),16.757166,101.956853
ภูผายล,สกลนคร,สำนักบริหารพื้นที่อนุรักษ์ที่ 10 (อุดรธานี),16.92895,104.17160000000001
ภูผายา,อุดรธานีี,,17.429998,102.336242
ภูผาเทิบ,มุกดาหาร,สำนักบริหารพื้นที่อนุรักษ์ที่ 9 (อุบลราชธานี),16.4305,104.797
ภูผาเทิบ (มุกดาหาร),มุกดาหาร,,16.4305,104.797
ภูผาเหล็ก,สกลนคร,สำนักบริหารพื้นที่อนุรักษ์ที่ 10 (อุดรธานี),17.263076,103.459499
ภูพาน,สกลนคร,สำนักบริหารพื้นที่อนุรักษ์ที่ 10 (อุดรธานี),17.100418,103.968286
ภูลังกา,นครพนม,สำนักบริหารพื้นที่อนุรักษ์ที่ 10 (อุดรธานี),17.980532,104.134509
