fiscal_year_be,park_name,office,month_th,month_num,calendar_year_be,calendar_year_ce,date,visitors,min_rain,max_rain,avg_rain,total_attractions,open_attractions,closed_attractions,unknown_attractions,known_attractions,availability_pct,unknown_pct,availability_data_status
2561,กุยบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 สาขาเพชรบุรี,ม.ค.,1,2561,2018,2018-01-01,2199,14.5,54.70999908,28.62068079,2.0,2.0,0.0,0.0,2.0,100.0,0.0,Known
2561,ขุนขาน,สำนักบริหารพื้นที่อนุรักษ์ที่ 16,ม.ค.,1,2561,2018,2018-01-01,16242,0.300000012,30.39999962,6.695410436,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
2561,ขุนน่าน,สำนักบริหารพื้นที่อนุรักษ์ที่ 13,ม.ค.,1,2561,2018,2018-01-01,523,11.39999962,30.78000069,17.2318547,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
2561,ขุนพะวอ,สำนักบริหารพื้นที่อนุรักษ์ที่ 14,ม.ค.,1,2561,2018,2018-01-01,521,0.0,32.0,9.917311154,8.0,5.0,0.0,3.0,5.0,100.0,37.5,Known
2561,ขุนสถาน,สำนักบริหารพื้นที่อนุรักษ์ที่ 13,ม.ค.,1,2561,2018,2018-01-01,9956,11.39999962,30.78000069,17.2318547,4.0,4.0,0.0,0.0,4.0,100.0,0.0,Known
2561,ขุนแจ,สำนักบริหารพื้นที่อนุรักษ์ที่ 15,ม.ค.,1,2561,2018,2018-01-01,948,4.769999981,16.86000061,8.776122468,7.0,7.0,0.0,0.0,7.0,100.0,0.0,Known
2561,คลองพนม,สำนักบริหารพื้นที่อนุรักษ์ที่ 4,ม.ค.,1,2561,2018,2018-01-01,880,54.11999893,258.8999939,123.0576803,10.0,7.0,0.0,3.0,7.0,100.0,30.0,Known
2561,คลองลาน,สำนักบริหารพื้นที่อนุรักษ์ที่ 12,ม.ค.,1,2561,2018,2018-01-01,26791,5.309999943,25.30999947,10.06743165,10.0,10.0,0.0,0.0,10.0,100.0,0.0,Known
2561,คลองวังเจ้า,สำนักบริหารพื้นที่อนุรักษ์ที่ 12,ม.ค.,1,2561,2018,2018-01-01,2603,5.309999943,25.30999947,10.06743165,11.0,11.0,0.0,0.0,11.0,100.0,0.0,Known
2561,ดอยขุนตาล,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 สาขาลำปาง,ม.ค.,1,2561,2018,2018-01-01,1674,0.0,8.079999924,4.250428422,14.0,14.0,0.0,0.0,14.0,100.0,0.0,Known
2561,ดอยจง,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 สาขาลำปาง,ม.ค.,1,2561,2018,2018-01-01,719,0.02,25.38999939,10.4040333,3.0,3.0,0.0,0.0,3.0,100.0,0.0,Known
2561,ดอยผากลอง,สำนักบริหารพื้นที่อนุรักษ์ที่ 13,ม.ค.,1,2561,2018,2018-01-01,933,8.220000267,23.79999924,17.96342486,6.0,6.0,0.0,0.0,6.0,100.0,0.0,Known
