fiscal_year_be,park_name_x,office,month_th,visitors,month_num,calendar_year_be,calendar_year_ce,date,park_key,park_key_final,park_name_y,min_rain,max_rain,avg_rain
2561,กุยบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 สาขาเพชรบุรี,ม.ค.,2199,1,2561,2018,2018-01-01,กุยบุรี,กุยบุรี,กุยบุรี,14.5,54.70999908,28.62068079
2561,ขุนขาน,สำนักบริหารพื้นที่อนุรักษ์ที่ 16,ม.ค.,16242,1,2561,2018,2018-01-01,ขุนขาน,ขุนขาน,ขุนขาน,0.300000012,30.39999962,6.695410436
2561,ขุนน่าน,สำนักบริหารพื้นที่อนุรักษ์ที่ 13,ม.ค.,523,1,2561,2018,2018-01-01,ขุนน่าน,ขุนน่าน,ขุนน่าน,11.39999962,30.78000069,17.2318547
2561,ขุนพะวอ,สำนักบริหารพื้นที่อนุรักษ์ที่ 14,ม.ค.,521,1,2561,2018,2018-01-01,ขุนพะวอ,ขุนพะวอ,ขุนพะวอ,0.0,32.0,9.917311154
2561,ขุนสถาน,สำนักบริหารพื้นที่อนุรักษ์ที่ 13,ม.ค.,9956,1,2561,2018,2018-01-01,ขุนสถาน,ขุนสถาน,ขุนสถาน,11.39999962,30.78000069,17.2318547
2561,ขุนแจ,สำนักบริหารพื้นที่อนุรักษ์ที่ 15,ม.ค.,948,1,2561,2018,2018-01-01,ขุนแจ,ขุนแจ,ขุนแจ,4.769999981,16.86000061,8.776122468
2561,คลองพนม,สำนักบริหารพื้นที่อนุรักษ์ที่ 4,ม.ค.,880,1,2561,2018,2018-01-01,คลองพนม,คลองพนม,คลองพนม,54.11999893,258.8999939,123.0576803
2561,คลองลาน,สำนักบริหารพื้นที่อนุรักษ์ที่ 12,ม.ค.,26791,1,2561,2018,2018-01-01,คลองลาน,คลองลาน,คลองลาน,5.309999943,25.30999947,10.06743165
2561,คลองวังเจ้า,สำนักบริหารพื้นที่อนุรักษ์ที่ 12,ม.ค.,2603,1,2561,2018,2018-01-01,คลองวังเจ้า,คลองวังเจ้า,คลองวังเจ้า,5.309999943,25.30999947,10.06743165
2561,ดอยขุนตาล,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 สาขาลำปาง,ม.ค.,1674,1,2561,2018,2018-01-01,ดอยขุนตาล,ดอยขุนตาล,ดอยขุนตาล,0.0,8.079999924,4.250428422
2561,ดอยจง,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 สาขาลำปาง,ม.ค.,719,1,2561,2018,2018-01-01,ดอยจง,ดอยจง,ดอยจง,0.02,25.38999939,10.4040333
2561,ดอยผากลอง,สำนักบริหารพื้นที่อนุรักษ์ที่ 13,ม.ค.,933,1,2561,2018,2018-01-01,ดอยผากลอง,ดอยผากลอง,ดอยผากลอง,8.220000267,23.79999924,17.96342486
2561,ดอยผ้าห่มปก,สำนักบริหารพื้นที่อนุรักษ์ที่ 16,ม.ค.,28607,1,2561,2018,2018-01-01,ดอยผ้าห่มปก,ดอยผ้าห่มปก,ดอยผ้าห่มปก,0.300000012,30.39999962,6.695410436
2561,ดอยภูคา,สำนักบริหารพื้นที่อนุรักษ์ที่ 13,ม.ค.,6394,1,2561,2018,2018-01-01,ดอยภูคา,ดอยภูคา,ดอยภูคา,11.39999962,30.78000069,17.2318547
2561,ดอยภูนาง,สำนักบริหารพื้นที่อนุรักษ์ที่ 15,ม.ค.,1311,1,2561,2018,2018-01-01,ดอยภูนาง,ดอยภูนาง,ดอยภูนาง,7.659999847,21.70000076,12.50830387
2561,ดอยสอยมาลัย,สำนักบริหารพื้นที่อนุรักษ์ที่ 14,ม.ค.,4342,1,2561,2018,2018-01-01,ดอยสอยมาลัย,ดอยสอยมาลัย-ไม้กลายเป็นหิน,ดอยสอยมาลัย-ไม้กลายเป็นหิน,0.0,32.0,9.917311154
2561,ดอยสุเทพ-ปุย,สำนักบริหารพื้นที่อนุรักษ์ที่ 16,ม.ค.,5866,1,2561,2018,2018-01-01,ดอยสุเทพ-ปุย,ดอยสุเทพ-ปุย,ดอยสุเทพ-ปุย,0.300000012,30.39999962,6.695410436
2561,ดอยหลวง,สำนักบริหารพื้นที่อนุรักษ์ที่ 15,ม.ค.,1862,1,2561,2018,2018-01-01,ดอยหลวง,ดอยหลวง,ดอยหลวง,4.769999981,16.86000061,8.776122468
2561,ดอยอินทนนท์,สำนักบริหารพื้นที่อนุรักษ์ที่ 16,ม.ค.,6254,1,2561,2018,2018-01-01,ดอยอินทนนท์,ดอยอินทนนท์,ดอยอินทนนท์,0.300000012,30.39999962,6.695410436
2561,ดอยเวียงผา,สำนักบริหารพื้นที่อนุรักษ์ที่ 16,ม.ค.,3065,1,2561,2018,2018-01-01,ดอยเวียงผา,ดอยเวียงผา,ดอยเวียงผา,0.300000012,30.39999962,6.695410436
2561,ตะรุเตา,สำนักบริหารพื้นที่อนุรักษ์ที่ 5,ม.ค.,33291,1,2561,2018,2018-01-01,ตะรุเตา,ตะรุเตา,ตะรุเตา,83.63999939,196.6900024,127.1310593
2561,ตากสินมหาราช,สำนักบริหารพื้นที่อนุรักษ์ที่ 14,ม.ค.,4342,1,2561,2018,2018-01-01,ตากสินมหาราช,ตากสินมหาราช,ตากสินมหาราช,0.0,32.0,9.917311154
2561,ตาดหมอก,สำนักบริหารพื้นที่อนุรักษ์ที่ 11,ม.ค.,2007,1,2561,2018,2018-01-01,ตาดหมอก,ตาดหมอก,ตาดหมอก,2.809999943,94.84999847,20.96562279
